Date,LightGBM
2006-01-02,1000000.0
2006-01-03,1021507.8638160764
2006-01-04,1026059.1609661744
2006-01-05,1035546.703919306
2006-01-06,1025959.5543958076
2006-01-09,1030366.1444345862
2006-01-10,1025043.8230698255
2006-01-11,1023815.2069416308
2006-01-12,1030022.8004533616
2006-01-13,1025849.8802469142
2006-01-16,1036241.9757870955
2006-01-17,1034389.1968306098
2006-01-18,994661.5406506677
2006-01-19,996002.4469625402
2006-01-20,996640.9479304238
2006-01-23,979261.1778172051
2006-01-24,991093.8079179369
2006-01-25,995665.4744134699
2006-02-03,1006395.1374044062
2006-02-06,1030648.2746163255
2006-02-07,1026727.3843976841
2006-02-08,1016137.7169371451
2006-02-09,1020855.6449600125
2006-02-10,1015850.9624904351
2006-02-13,1013274.8433695389
2006-02-14,1019426.9448032569
2006-02-15,1011167.2549601014
2006-02-16,1023655.4005042074
2006-02-17,1024693.3273275554
2006-02-20,1031274.5247545379
2006-02-21,1023685.0878266795
2006-02-22,1009646.6464694595
2006-02-23,1003480.8065592989
2006-02-24,1016413.7756041776
2006-02-27,1014471.6425914156
2006-03-01,1024573.0056433362
2006-03-02,1026745.9837302519
2006-03-03,1018018.5830925194
2006-03-06,1025474.3197013694
2006-03-07,1016347.0133923551
2006-03-08,1008656.2791995921
2006-03-09,1012398.8521048112
2006-03-10,1010156.5310644581
2006-03-13,1020947.23764353
2006-03-14,1008569.2078328143
2006-03-15,1017361.3224517144
2006-03-16,1020430.7727595998
2006-03-17,1028015.9097332516
2006-03-20,1022391.8470691445
2006-03-21,1009779.8818645427
2006-03-22,1006197.5304519844
2006-03-23,1001408.2296421629
2006-03-24,1012675.6970308002
2006-03-27,1019009.4251143215
2006-03-28,1019374.3072109247
2006-03-29,1028003.9607794988
2006-03-30,1037671.9101794487
2006-03-31,1045485.9975931019
2006-04-03,1048112.6213967438
2006-04-04,1053990.7818326664
2006-04-06,1068830.876337348
2006-04-07,1066367.2203054817
2006-04-10,1067384.8205439206
2006-04-11,1063851.9118880867
2006-04-12,1064854.2233555194
2006-04-13,1073506.426086008
2006-04-14,1087446.465587338
2006-04-17,1106873.067106382
2006-04-18,1100462.1836269752
2006-04-19,1111951.35049541
2006-04-20,1117426.835936255
2006-04-21,1116858.47560038
2006-04-24,1119393.8390861577
2006-04-25,1119174.4781391188
2006-04-26,1140722.1636469304
2006-04-27,1144575.9076079382
2006-04-28,1141020.5907086846
2006-05-02,1159935.7887794473
2006-05-03,1157396.3198170837
2006-05-04,1173739.7028826454
2006-05-05,1201021.948199111
2006-05-08,1215406.0296379395
2006-05-09,1201391.8004636
2006-05-10,1194306.0717004517
2006-05-11,1192840.8070066322
2006-05-12,1186679.9274781388
2006-05-15,1164356.2976578225
2006-05-16,1135534.5414093728
2006-05-17,1139783.2055656484
2006-05-18,1065332.934629973
2006-05-19,1069213.2354272832
2006-05-22,1109002.1908318454
2006-05-23,1096059.087564721
2006-05-24,1105920.488431203
2006-05-25,1108994.9987080067
2006-05-26,1121369.4578854213
2006-05-29,1058667.4813774887
2006-05-30,1116048.6842048527
2006-06-01,1121553.8292987775
2006-06-02,1149222.8601268046
2006-06-05,1113398.552465186
2006-06-06,1118109.5452545404
2006-06-07,1095224.7237469929
2006-06-08,1049712.9078518641
2006-06-09,1075902.0504661202
2006-06-12,1071465.6513497774
2006-06-13,1052451.0654865233
2006-06-14,1079823.2208861439
2006-06-15,1070131.4803113109
2006-06-16,1089533.1804412855
2006-06-19,1085323.4509631218
2006-06-20,1050966.7208150062
2006-06-21,1037692.7867103876
2006-06-22,1074534.9374786993
