Date,NeuralNetwork
2006-01-02,1000000.0
2006-01-03,1017806.0519317362
2006-01-04,1016537.0416253039
2006-01-05,1027603.1986827288
2006-01-06,1021246.9276706462
2006-01-09,1024318.6699642459
2006-01-10,1023584.2461473657
2006-01-11,1024625.7914724171
2006-01-12,1029769.4165507898
2006-01-13,1029893.8555610926
2006-01-16,1036925.6773329445
2006-01-17,1031430.4632262199
2006-01-18,996107.6087328157
2006-01-19,1006010.742194803
2006-01-20,1003091.0589897713
2006-01-23,986985.5641192773
2006-01-24,999683.4024701449
2006-01-25,1007389.7938045639
2006-02-03,1001574.846584039
2006-02-06,1019941.1110848871
2006-02-07,1021832.7279614208
2006-02-08,1012869.6553813412
2006-02-09,1020891.6868512288
2006-02-10,1018336.3932876566
2006-02-13,1012216.7998979363
2006-02-14,1019167.2733566035
2006-02-15,1015288.7975900291
2006-02-16,1033124.6272249944
2006-02-17,1033803.7694378848
2006-02-20,1039933.303234757
2006-02-21,1032142.379737224
2006-02-22,1011158.8428239072
2006-02-23,1002593.2702364589
2006-02-24,1018710.1800674585
2006-02-27,1023256.4022930865
2006-03-01,1033445.2375259389
2006-03-02,1035637.0323934612
2006-03-03,1026834.0573244643
2006-03-06,1034354.3564619824
2006-03-07,1025148.0127612047
2006-03-08,1017390.6810915126
2006-03-09,1021165.6625947229
2006-03-10,1018903.9243023869
2006-03-13,1029788.0723936006
2006-03-14,1017302.8557351682
2006-03-15,1026171.1051723855
2006-03-16,1029267.1352112747
2006-03-17,1036917.9552487205
2006-03-20,1031245.1913326737
2006-03-21,1018524.0135300686
2006-03-22,1014910.6409484554
2006-03-23,1010079.8674596681
2006-03-24,1021444.9048436602
2006-03-27,1027833.479486606
2006-03-28,1028201.5212590477
2006-03-29,1036905.9028236797
2006-03-30,1046657.5712836019
2006-03-31,1054539.3243444106
2006-04-03,1061632.4592958363
2006-04-04,1060750.3822499388
2006-04-06,1072844.1025260787
2006-04-07,1071498.153449489
2006-04-10,1070185.757420076
2006-04-11,1065032.981923696
2006-04-12,1067854.0001623763
2006-04-13,1062564.196845678
2006-04-14,1079051.8219784023
2006-04-17,1086008.7939646305
2006-04-18,1085220.948315798
2006-04-19,1103418.4090894319
2006-04-20,1104741.417271349
2006-04-21,1110380.5003454436
2006-04-24,1112689.2299019983
2006-04-25,1100399.8784560154
2006-04-26,1116587.5342147374
2006-04-27,1106163.4855421346
2006-04-28,1111657.41046798
2006-05-02,1120569.7478425528
2006-05-03,1120626.76610161
2006-05-04,1129368.2155413893
2006-05-05,1146731.9631362485
2006-05-08,1154954.3725128868
2006-05-09,1136538.3841547791
2006-05-10,1130661.1051517045
