Date,XGBoost
2006-01-02,1000000.0
2006-01-03,1017068.5180109136
2006-01-04,1027609.6432330834
2006-01-05,1038420.9137345462
2006-01-06,1036815.5887326105
2006-01-09,1033327.6331083463
2006-01-10,1034455.6539382343
2006-01-11,1043978.5243108772
2006-01-12,1059514.0438107697
2006-01-13,1060802.0968899035
2006-01-16,1067303.7530674478
2006-01-17,1060579.4769334742
2006-01-18,1029116.1172583849
2006-01-19,1031687.744089314
2006-01-20,1028466.8259244978
2006-01-23,1014687.373364704
2006-01-24,1026516.7937078077
2006-01-25,1038693.8469945488
2006-02-03,1043540.2346020872
2006-02-06,1061938.342901762
2006-02-07,1062317.343478907
2006-02-08,1053111.006580294
2006-02-09,1054753.1596720458
2006-02-10,1052395.5358098883
2006-02-13,1041887.9249490103
2006-02-14,1048180.3347495045
2006-02-15,1042339.6370560236
2006-02-16,1054336.8439669444
2006-02-17,1053312.2054456489
2006-02-20,1059394.4670105164
2006-02-21,1051792.549497006
2006-02-22,1039662.033538806
2006-02-23,1034183.9489415474
2006-02-24,1048557.2039212224
2006-02-27,1050591.4384188752
2006-03-01,1061298.0337980408
2006-03-02,1066045.9003835304
2006-03-03,1057102.8282369156
2006-03-06,1067155.8809447996
2006-03-07,1059866.0102560509
2006-03-08,1052842.4156108417
2006-03-09,1056336.9812468635
2006-03-10,1056688.5858337649
2006-03-13,1068865.603894903
2006-03-14,1054481.3906123878
2006-03-15,1067901.8656332495
2006-03-16,1071896.6077041551
2006-03-17,1079952.0753952474
2006-03-20,1074942.2385360259
2006-03-21,1059600.2996799657
2006-03-22,1049965.6303572098
2006-03-23,1046527.62497539
2006-03-24,1052339.4418883177
2006-03-27,1060062.7593411298
2006-03-28,1064827.8342807128
2006-03-29,1076695.5946371227
2006-03-30,1085210.074996023
2006-03-31,1091076.0859037654
2006-04-03,1096893.864789737
2006-04-04,1097976.614913088
2006-04-06,1112326.116222633
2006-04-07,1109261.2256581755
2006-04-10,1117341.4286333683
2006-04-11,1113012.0059456136
2006-04-12,1122866.035384788
2006-04-13,1131519.9815437833
2006-04-14,1144182.3272691884
2006-04-17,1162558.1101540714
2006-04-18,1149199.0400988574
2006-04-19,1155826.9531992634
2006-04-20,1157256.4827394371
2006-04-21,1154134.2200718885
2006-04-24,1160553.4678855974
2006-04-25,1163471.918067454
2006-04-26,1173909.4705163736
2006-04-27,1165672.2831296304
2006-04-28,1165272.7537688657
2006-05-02,1179995.0578729636
2006-05-03,1191281.6360168431
2006-05-04,1215281.7212785566
2006-05-05,1221944.0855473273
2006-05-08,1238754.6040043735
2006-05-09,1223491.829046325
2006-05-10,1207493.6635946906
2006-05-11,1211474.5695465768
2006-05-12,1201000.00514161
2006-05-15,1174111.9298482183
2006-05-16,1145563.4326782147
2006-05-17,1163203.446531564
2006-05-18,1088381.6380915765
2006-05-19,1092254.0434532731
2006-05-22,1129748.3768789186
2006-05-23,1111290.6869199872
2006-05-24,1129323.6573632795
2006-05-25,1129630.157863524
2006-05-26,1140106.344285629
2006-05-29,1083694.9252693674
2006-05-30,1144240.8683059395
2006-06-01,1147186.723327376
2006-06-02,1175555.822034839
2006-06-05,1136953.3990374634
2006-06-06,1144144.9693290296
2006-06-07,1118872.8993109455
2006-06-08,1072827.8867379576
2006-06-09,1095135.3919629788
2006-06-12,1092906.85934012
2006-06-13,1066873.1061199044
2006-06-14,1088263.2939171356
2006-06-15,1085842.9390693242
2006-06-16,1115793.842462788
2006-06-19,1112874.2713591566
2006-06-20,1071743.8371754612
2006-06-21,1064083.7102998758
2006-06-22,1101825.830909656
2006-06-23,1094940.5610402245
2006-06-26,1105830.986061548
2006-06-27,1113336.890019232
2006-06-28,1103563.4159977299
2006-06-29,1114538.7553406407
2006-06-30,1138002.8578077222
2006-07-03,1139203.354036912
2006-07-04,1141818.2885169468
2006-07-05,1121841.223456132
2006-07-06,1121270.7322623357
2006-07-07,1128766.8960007872
2006-07-10,1130387.095968494
2006-07-11,1123134.7384263105
2006-07-12,1124027.8757795615
2006-07-13,1115901.0267066262
2006-07-14,1089880.5153330204
2006-07-17,1059474.954443469
2006-07-18,1070246.8490903873
2006-07-19,1068079.5450989534
2006-07-20,1092447.428572718
2006-07-21,1088735.1347138374
2006-07-24,1084149.536402735
2006-07-25,1094242.1360284588
2006-07-26,1049543.2371334578
2006-07-27,1062594.1177304152
2006-07-28,1115613.2223685675
2006-07-31,1112032.1534122103
2006-08-01,1113698.535622431
2006-08-02,1112657.589530802
2006-08-03,1119159.1775333064
2006-08-04,1115620.9212095337
2006-08-07,1108964.9539717082
2006-08-08,1128324.907206922
2006-08-09,1148021.1258022047
2006-08-10,1155260.0411746236
2006-08-11,1152731.9253632834
2006-08-14,1158454.26643466
2006-08-15,1158897.9652654866
2006-08-16,1167810.4499601899
2006-08-17,1191771.1040982462
2006-08-18,1190737.2128922718
2006-08-21,1151809.5740793452
2006-08-22,1170935.4435071393
2006-08-23,1168634.6089711206
2006-08-24,1165553.7238070995
2006-08-25,1161080.7462154839
2006-08-28,1144949.9717309747
2006-08-29,1155706.6010714024
2006-08-30,1178170.3970989482
2006-08-31,1175984.745873528
2006-09-01,1191799.159948742
2006-09-04,1211237.2482085282
2006-09-05,1210172.2056325509
2006-09-06,1207576.501785858
2006-09-07,1209027.8170142074
2006-09-08,1204745.3542489016
2006-09-11,1202800.8844217344
2006-09-12,1190152.9055539796
2006-09-13,1191819.8298280917
2006-09-14,1185520.0363826817
2006-09-15,1200088.7824030526
2006-09-18,1234516.6592242697
2006-09-19,1233832.6041136568
2006-09-20,1233953.8570460842
2006-09-21,1237847.8696175741
2006-09-22,1234021.3216854767
2006-09-25,1234375.6494644217
2006-09-26,1236956.3502789587
2006-09-27,1244455.1885386864
2006-09-28,1230934.1103562259
2006-09-29,1225990.5236877578
2006-10-02,1255074.457672885
2006-10-03,1251534.3772468101
2006-10-04,1234735.1874288039
2006-10-05,1253866.9567951143
2006-10-09,1238273.924067254
2006-10-11,1258164.816327317
2006-10-12,1254843.7632839442
2006-10-13,1262908.5824286505
2006-10-16,1276357.9118039731
2006-10-17,1266344.2839059555
2006-10-18,1251898.6323301513
2006-10-19,1245370.5293735364
2006-10-20,1251459.7416576422
2006-10-23,1255136.7429882744
2006-10-24,1259760.836216528
2006-10-25,1262122.3079756624
2006-10-26,1245378.393299173
2006-10-27,1272032.5045306927
2006-10-30,1250299.1212953324
2006-10-31,1259090.0072294488
2006-11-01,1255646.7025906732
2006-11-02,1261175.1990246742
2006-11-03,1270933.8280937176
2006-11-06,1263071.5098202098
2006-11-07,1269916.087359245
2006-11-08,1265170.3180545922
2006-11-09,1259433.8250660552
2006-11-10,1263227.4987253721
2006-11-13,1257214.8895104334
2006-11-14,1261287.5257632786
2006-11-15,1266143.0364321945
2006-11-16,1278044.736220467
2006-11-17,1278822.7789444395
2006-11-20,1282601.8441842988
2006-11-21,1289876.3973915076
2006-11-22,1294761.263208929
2006-11-23,1305090.289196118
2006-11-24,1310342.230656355
2006-11-27,1342999.690559008
2006-11-28,1329851.4886890736
2006-11-29,1327978.503576583
2006-11-30,1337042.8552734267
2006-12-01,1345641.0094527577
2006-12-04,1348242.020554439
2006-12-05,1353750.6831613528
2006-12-06,1359769.1013354086
2006-12-07,1355913.6246060256
2006-12-08,1344353.1557506532
2006-12-11,1337195.7334729875
2006-12-12,1308505.1752424308
2006-12-13,1310974.6591433024
2006-12-14,1316356.1500529253
2006-12-15,1330895.6779021875
2006-12-18,1342209.8498307702
2006-12-19,1332163.7450592495
2006-12-20,1339526.0532186928
2006-12-21,1336977.5994600384
2006-12-22,1343718.0839338757
2006-12-25,1336511.5542669597
2006-12-26,1348382.2665319894
2006-12-27,1348091.0867309577
2006-12-28,1348948.5597802338
2006-12-29,1361023.0375871975
2007-01-02,1379213.9172356636
2007-01-03,1378563.4021069577
2007-01-04,1384040.0127420176
2007-01-05,1369564.9139042941
2007-01-08,1352535.5936737487
2007-01-09,1358954.7235007056
2007-01-10,1339451.4833349097
2007-01-11,1341589.277947108
2007-01-12,1367217.2595061562
2007-01-15,1367842.1848505444
2007-01-16,1375919.5849415583
2007-01-17,1391663.305263056
2007-01-18,1397410.3058821696
2007-01-19,1391859.6702964257
2007-01-22,1392057.7885479585
2007-01-23,1391681.2436315916
2007-01-24,1402575.9596855205
2007-01-25,1397897.1800018619
2007-01-26,1378873.27385733
2007-01-29,1369437.215243124
2007-01-30,1374822.8617674848
2007-01-31,1367983.458517622
2007-02-01,1372169.9295859921
2007-02-02,1384773.1899806103
2007-02-05,1382948.797427217
2007-02-06,1395676.4987800268
2007-02-07,1388678.1611788378
2007-02-08,1389372.8422980781
2007-02-09,1390327.7534009889
2007-02-12,1376186.6506146132
2007-02-13,1364555.4888063641
2007-02-14,1373773.8621757417
2007-02-26,1381303.6771846386
2007-02-27,1378807.0334696027
2007-03-01,1336131.9514825025
2007-03-02,1335640.7965843494
2007-03-05,1283163.417414689
2007-03-06,1297809.0789105913
2007-03-07,1316950.1381008008
2007-03-08,1333041.824333896
2007-03-09,1326545.9468256794
2007-03-12,1331380.1721115136
2007-03-13,1351981.922296992
2007-03-14,1324383.32509116
2007-03-15,1337170.275234541
2007-03-16,1345313.0253217483
2007-03-19,1341640.488290536
2007-03-20,1352103.7594367024
2007-03-21,1355878.0729964837
2007-03-22,1370014.371583005
2007-03-23,1366247.9224389177
2007-03-26,1361550.3752885766
2007-03-27,1355451.0092115062
2007-03-28,1342515.1920764928
2007-03-29,1344700.8472802734
2007-03-30,1342591.5379825397
2007-04-02,1333926.425673308
2007-04-03,1345492.1687895718
2007-04-04,1367837.355790497
2007-04-09,1370829.9985016575
2007-04-10,1380501.9146385817
2007-04-11,1378651.2847047832
2007-04-12,1368299.0071222896
2007-04-13,1356815.362586661
2007-04-16,1366537.927244321
2007-04-17,1353726.7472981084
2007-04-18,1353602.419379805
2007-04-19,1334645.4534376208
2007-04-20,1337589.3648716735
2007-04-23,1345650.6209316894
2007-04-24,1343897.6798726204
2007-04-25,1328169.261970297
2007-04-26,1332641.216798818
2007-04-27,1325756.9158982576
2007-04-30,1309762.0439276788
2007-05-02,1301438.367120191
2007-05-03,1299255.1633708635
2007-05-04,1325738.9088800263
2007-05-07,1342395.5706931632
2007-05-08,1341165.991792659
2007-05-09,1331325.586643028
2007-05-10,1340943.2836031793
2007-05-11,1330303.5458082303
2007-05-14,1329786.5394153849
2007-05-15,1318606.4577725516
2007-05-16,1318087.7584088736
2007-05-17,1331346.498008804
2007-05-18,1333892.9157783622
2007-05-21,1355626.7697048932
2007-05-22,1375381.0223951975
2007-05-23,1380933.0532802152
2007-05-24,1381195.6391683037
2007-05-25,1370023.1531455645
2007-05-28,1363358.6822483314
2007-05-29,1364069.9791270297
2007-05-30,1357843.4220748427
2007-05-31,1347132.3386115914
2007-06-01,1375632.1389308483
2007-06-04,1378649.0371429508
2007-06-05,1375867.6115503174
2007-06-06,1383028.1185896026
2007-06-07,1384035.1598903406
2007-06-08,1376415.8008210494
2007-06-11,1389860.493620479
2007-06-12,1390580.8819722163
2007-06-13,1386411.3436827345
2007-06-14,1405493.5039049943
2007-06-15,1432118.778796712
2007-06-20,1478853.3640695775
2007-06-21,1488516.6013163934
2007-06-22,1477561.2619530773
2007-06-25,1495768.2471474125
2007-06-26,1492912.8221998555
2007-06-27,1483398.9756143538
2007-06-28,1488220.211520175
2007-06-29,1481500.3841562658
2007-07-02,1494919.6456140038
2007-07-03,1510188.6552255836
2007-07-04,1520889.2152639143
2007-07-05,1535841.2868420617
2007-07-06,1543987.0744322168
2007-07-09,1588274.599429259
2007-07-10,1559741.9653735606
2007-07-11,1561863.9502316401
2007-07-12,1581572.5399421207
2007-07-13,1593556.6008527905
2007-07-16,1587994.8097290334
2007-07-17,1588024.9509646758
2007-07-18,1603216.05097125
2007-07-19,1590322.3295216288
2007-07-20,1597352.3326097806
2007-07-23,1610395.7311221496
2007-07-24,1635240.0191050011
2007-07-25,1626152.2342710844
2007-07-26,1600941.271076873
2007-07-27,1515676.2785577239
2007-07-30,1509752.4912518447
2007-07-31,1551852.436141408
2007-08-01,1489347.1397366966
2007-08-02,1505258.9652865923
2007-08-03,1535347.3621547795
